timestamp,s0,s1,s2,s3,s4,s5,s6
1782866215.936008,0.0000,0.4000,0.4000,0.2000,0.6000,0.3000,0.1000
1782866216.046980,0.0000,0.4000,0.4000,0.2000,0.6000,0.3000,0.1000
1782866216.157760,0.0000,0.5000,0.4000,0.2000,0.6000,0.3000,0.1000
1782866216.268698,0.0000,0.4000,0.4000,0.2000,0.6000,0.3000,0.1000
1782866216.379711,0.0000,0.4000,0.4000,0.2000,0.6000,0.3000,0.1000
1782866216.490058,0.0000,0.4000,0.4000,0.2000,0.6000,0.3000,0.1000
1782866216.601135,0.0000,0.4000,0.4000,0.2000,0.6000,0.3000,0.1000
1782866216.712321,0.0000,0.4000,0.4000,0.2000,0.6000,0.3000,0.1000
1782866216.823755,0.0000,0.4000,0.4000,0.2000,0.6000,0.3000,0.1000
1782866216.934477,0.0000,0.5000,0.3000,0.2000,0.6000,0.3000,0.1000
1782866217.045264,0.0000,0.4000,0.4000,0.2000,0.6000,0.3000,0.1000
1782866217.157018,0.0000,0.4000,0.4000,0.2000,0.6000,0.3000,0.1000
1782866217.267674,0.0000,0.4000,0.4000,0.2000,0.6000,0.3000,0.1000
1782866217.379084,0.0000,0.5000,0.4000,0.2000,0.6000,0.3000,0.0000
1782866217.489676,0.0000,0.5000,0.4000,0.2000,0.6000,0.3000,0.1000
1782866217.601189,0.0000,0.4000,0.4000,0.2000,0.6000,0.3000,0.1000
1782866217.712544,0.0000,0.4000,0.4000,0.2000,0.6000,0.3000,0.1000
1782866217.823674,0.0000,0.4000,0.4000,0.2000,0.6000,0.3000,0.1000
1782866217.934757,0.0000,0.4000,0.4000,0.2000,0.6000,0.3000,0.1000
1782866218.045710,0.0000,0.5000,0.0000,0.2000,0.6000,0.3000,0.1000
1782866218.156443,0.0000,0.4000,-1.7000,0.2000,0.6000,0.3000,0.1000
1782866218.267310,0.0000,0.5000,-3.1000,0.2000,0.6000,0.3000,0.1000
1782866218.379303,0.0000,0.4000,-4.7000,0.2000,0.6000,0.3000,0.1000
1782866218.490020,0.0000,0.4000,-6.4000,0.2000,0.6000,0.3000,0.1000
1782866218.601170,0.0000,0.4000,-8.1000,0.2000,0.6000,0.3000,0.1000
1782866218.712491,0.0000,0.4000,-9.3000,0.2000,0.6000,0.3000,0.1000
1782866218.823988,0.0000,0.4000,-9.4000,0.2000,0.6000,0.3000,0.1000
1782866218.934385,0.0000,0.4000,-9.4000,0.2000,0.6000,0.3000,0.1000
1782866219.045512,0.0000,0.4000,-9.4000,0.2000,0.6000,0.3000,0.1000
1782866219.157553,0.0000,0.4000,-9.4000,0.2000,0.6000,0.3000,0.1000
1782866219.268197,0.0000,0.5000,-9.4000,0.2000,0.6000,0.3000,0.1000
1782866219.379141,0.0000,0.4000,-9.4000,0.2000,0.6000,0.3000,0.1000
1782866219.490816,0.0000,0.4000,-9.4000,0.2000,0.6000,0.3000,0.1000
1782866219.601466,0.0000,0.4000,-9.4000,0.2000,0.6000,0.3000,0.1000
1782866219.712224,0.0000,0.5000,-9.4000,0.2000,0.6000,0.3000,0.1000
1782866219.823236,0.0000,0.4000,-9.3000,0.2000,0.6000,0.3000,0.1000
1782866219.933893,0.0000,0.4000,-9.4000,0.2000,0.6000,0.3000,0.1000
1782866220.045069,0.0000,0.4000,-9.4000,0.2000,0.6000,0.3000,0.1000
1782866220.156323,0.0000,0.4000,-9.4000,0.2000,0.6000,0.3000,0.1000
1782866220.268347,0.0000,0.5000,-9.4000,0.2000,0.6000,0.3000,0.1000
1782866220.379233,0.0000,0.5000,-9.4000,0.2000,0.6000,0.3000,0.1000
1782866220.490344,0.0000,0.4000,-9.4000,0.2000,0.6000,0.3000,0.1000
1782866220.601420,0.0000,0.4000,-9.4000,0.2000,0.6000,0.3000,0.1000
1782866220.713204,0.0000,0.4000,-9.4000,0.2000,0.6000,0.3000,0.1000
1782866220.823903,0.0000,0.4000,-9.4000,0.2000,0.6000,0.3000,0.1000
1782866220.935157,0.0000,0.4000,-9.4000,0.2000,0.6000,0.3000,0.1000
1782866221.046618,0.0000,0.4000,-9.4000,0.2000,0.6000,0.3000,0.1000
1782866221.157843,0.0000,0.5000,-9.4000,0.2000,0.6000,0.3000,0.1000
1782866221.268462,0.0000,0.5000,-9.4000,0.2000,0.6000,0.3000,0.1000
1782866221.379258,0.0000,0.4000,-9.4000,0.2000,0.6000,0.3000,0.1000
1782866221.490381,0.0000,0.5000,-9.4000,0.2000,0.6000,0.3000,0.1000
1782866221.601337,0.0000,0.5000,-9.4000,0.2000,0.6000,0.3000,0.0000
1782866221.712838,0.0000,0.5000,-9.4000,0.2000,0.6000,0.3000,0.1000
1782866221.825902,0.0000,0.4000,-9.4000,0.2000,0.6000,0.3000,0.1000
1782866221.936144,0.0000,0.4000,-9.3000,0.2000,0.6000,0.3000,0.1000
1782866222.046872,0.0000,0.5000,-9.4000,0.2000,0.6000,0.3000,0.1000
1782866222.158088,0.0000,0.4000,-9.4000,0.2000,0.6000,0.3000,0.1000
1782866222.268708,0.0000,0.4000,-9.4000,0.2000,0.6000,0.3000,0.0000
1782866222.380605,0.0000,0.4000,-9.4000,0.2000,0.6000,0.3000,0.1000
1782866222.491532,0.0000,0.5000,-9.4000,0.2000,0.6000,0.3000,0.1000
1782866222.602584,0.0000,0.5000,-9.4000,0.2000,0.6000,0.3000,0.1000
1782866222.713882,0.0000,0.5000,-9.4000,0.2000,0.6000,0.3000,0.1000
1782866222.824731,0.0000,0.4000,-9.4000,0.2000,0.6000,0.3000,0.1000
1782866222.937157,0.0000,0.4000,-9.4000,0.2000,0.6000,0.3000,0.1000
1782866223.048698,0.0000,0.4000,-9.4000,0.2000,0.6000,0.3000,0.1000
1782866223.160786,0.0000,0.4000,-9.4000,0.2000,0.6000,0.3000,0.1000
1782866223.271572,0.0000,0.4000,-9.4000,0.2000,0.6000,0.3000,0.1000
1782866223.382703,0.0000,0.4000,-9.4000,0.2000,0.6000,0.3000,0.0000
1782866223.494223,0.0000,0.4000,-9.4000,0.2000,0.6000,0.3000,0.1000
1782866223.604653,0.0000,0.4000,-9.4000,0.2000,0.6000,0.3000,0.1000
1782866223.715490,0.0000,0.4000,-9.4000,0.2000,0.6000,0.3000,0.1000
1782866223.826144,0.0000,0.5000,-9.4000,0.2000,0.6000,0.3000,0.1000
