timestamp,s0,s1,s2,s3,s4,s5,s6
1782864871.664384,0.0000,0.4000,0.5000,0.3000,0.8000,-0.2000,-0.2000
1782864871.775558,0.0000,0.4000,0.5000,0.3000,0.8000,-0.2000,-0.2000
1782864871.885962,0.0000,0.4000,0.5000,0.3000,0.8000,-0.2000,-0.2000
1782864871.996884,0.0000,0.4000,0.5000,0.3000,0.8000,-0.2000,-0.2000
1782864872.107937,0.0000,0.4000,0.5000,0.3000,0.8000,-0.2000,-0.2000
1782864872.219525,0.0000,0.4000,0.5000,0.3000,0.8000,-0.2000,-0.2000
1782864872.330307,0.0000,0.4000,0.5000,0.3000,0.8000,-0.2000,-0.2000
1782864872.441312,0.0000,0.5000,0.5000,0.3000,0.8000,-0.2000,-0.2000
1782864872.552497,0.0000,0.4000,0.5000,0.3000,0.8000,-0.2000,-0.2000
1782864872.663860,0.0000,0.4000,0.5000,0.3000,0.8000,-0.2000,-0.2000
1782864872.774604,0.0000,0.4000,0.5000,0.3000,0.8000,-0.2000,-0.2000
1782864872.885344,0.0000,0.4000,0.5000,0.3000,0.8000,-0.2000,-0.2000
1782864872.996117,0.0000,0.4000,0.5000,0.3000,0.8000,-0.2000,-0.2000
1782864873.107250,0.0000,0.4000,0.5000,0.3000,0.8000,-0.2000,-0.2000
1782864873.218784,0.0000,0.4000,0.5000,0.3000,0.8000,-0.2000,-0.2000
1782864873.330026,0.0000,0.4000,0.5000,0.3000,0.8000,-0.2000,-0.2000
1782864873.440786,0.0000,0.5000,0.5000,0.3000,0.8000,-0.2000,-0.2000
1782864873.552222,0.0000,0.5000,0.5000,0.3000,0.8000,-0.2000,-0.2000
1782864873.663423,0.0000,0.4000,0.5000,0.3000,0.8000,-0.2000,-0.2000
1782864873.774377,0.0000,0.4000,0.5000,0.3000,0.8000,-0.2000,-0.2000
1782864873.885084,0.0000,0.4000,0.5000,0.3000,0.8000,-0.2000,-0.2000
1782864873.996114,0.0000,0.4000,0.5000,0.3000,0.8000,-0.2000,-0.2000
1782864874.107622,0.0000,0.4000,0.5000,0.3000,0.8000,-0.2000,-0.2000
1782864874.219041,0.0000,0.4000,0.5000,0.3000,0.8000,-0.2000,-0.2000
1782864874.330759,0.0000,0.4000,0.5000,0.3000,0.8000,-0.2000,-0.2000
1782864874.441991,0.0000,0.5000,0.5000,0.3000,0.8000,-0.2000,-0.2000
1782864874.553434,0.0000,0.4000,0.5000,0.3000,0.8000,-0.2000,-0.2000
1782864874.664500,0.0000,0.4000,0.5000,0.3000,0.8000,-0.2000,-0.2000
1782864874.775341,0.0000,0.4000,0.5000,0.3000,0.8000,-0.2000,-0.2000
1782864874.886549,0.0000,0.4000,0.5000,0.3000,0.8000,-0.2000,-0.2000
1782864874.997216,0.0000,0.4000,0.5000,0.3000,0.8000,-0.2000,-0.2000
1782864875.108549,0.0000,0.4000,0.5000,0.3000,0.8000,-0.2000,-0.2000
1782864875.220150,0.0000,0.4000,0.5000,0.3000,0.8000,-0.2000,-0.2000
1782864875.330605,0.0000,0.4000,0.5000,0.3000,0.8000,-0.2000,-0.2000
1782864875.442852,0.0000,0.4000,0.5000,0.3000,0.8000,-0.2000,-0.2000
1782864875.553624,0.0000,0.5000,0.5000,0.3000,0.8000,-0.2000,-0.2000
1782864875.664706,0.0000,0.4000,0.5000,0.3000,0.8000,-0.2000,-0.2000
1782864875.775453,0.0000,0.4000,0.5000,0.3000,0.8000,-0.2000,-0.2000
1782864875.886644,0.0000,0.4000,0.5000,0.3000,0.8000,-0.2000,-0.2000
1782864875.997718,0.0000,0.5000,0.5000,0.3000,0.8000,-0.2000,-0.2000
1782864876.109688,0.0000,0.4000,0.5000,0.3000,0.8000,-0.2000,-0.2000
1782864876.220622,0.0000,0.5000,0.5000,0.3000,0.8000,-0.2000,-0.2000
1782864876.331997,0.0000,0.4000,0.5000,0.3000,0.8000,-0.2000,-0.2000
1782864876.443162,0.0000,0.5000,0.5000,0.3000,0.8000,-0.2000,-0.2000
1782864876.554175,0.0000,0.4000,0.5000,0.3000,0.8000,-0.2000,-0.2000
