timestamp,s0,s1,s2,s3,s4,s5,s6
1782864837.196379,0.0000,0.4000,0.5000,0.3000,0.8000,-0.2000,-0.2000
1782864837.308107,0.0000,0.4000,0.5000,0.3000,0.8000,-0.2000,-0.2000
1782864837.419079,0.0000,0.4000,0.5000,0.3000,0.8000,-0.2000,-0.2000
1782864837.529950,0.0000,0.5000,0.5000,0.3000,0.8000,-0.2000,-0.2000
1782864837.643482,0.0000,0.5000,0.5000,0.3000,0.8000,-0.2000,-0.2000
1782864837.752744,0.0000,0.4000,0.5000,0.3000,0.8000,-0.2000,-0.2000
1782864837.864575,0.0000,0.4000,0.5000,0.3000,0.8000,-0.2000,-0.2000
1782864837.975128,0.0000,0.5000,0.5000,0.3000,0.8000,-0.2000,-0.2000
1782864838.086586,0.0000,0.4000,0.5000,0.3000,0.8000,-0.2000,-0.2000
1782864838.197568,0.0000,0.4000,0.5000,0.3000,0.8000,-0.2000,-0.2000
1782864838.308256,0.0000,0.4000,0.5000,0.3000,0.8000,-0.2000,-0.2000
1782864838.419382,0.0000,0.5000,0.5000,0.3000,0.8000,-0.2000,-0.2000
1782864838.530674,0.0000,0.4000,0.5000,0.3000,0.8000,-0.2000,-0.2000
1782864838.643396,0.0000,0.4000,0.5000,0.3000,0.8000,-0.2000,-0.2000
1782864838.753509,0.0000,0.5000,0.5000,0.3000,0.8000,-0.2000,-0.2000
1782864838.864554,0.0000,0.4000,0.5000,0.3000,0.8000,-0.2000,-0.2000
1782864838.977170,0.0000,0.4000,0.5000,0.3000,0.8000,-0.2000,-0.2000
1782864839.087456,0.0000,0.4000,0.5000,0.3000,0.8000,-0.2000,-0.2000
1782864839.197962,0.0000,0.4000,0.5000,0.3000,0.8000,-0.2000,-0.2000
1782864839.309384,0.0000,0.4000,0.5000,0.3000,0.1000,-0.2000,-0.2000
1782864839.420709,0.0000,0.4000,0.5000,0.3000,-1.5000,-0.2000,-0.2000
1782864839.531140,0.0000,0.4000,0.5000,0.3000,-3.0000,-0.2000,-0.2000
1782864839.642211,0.0000,0.4000,0.5000,0.3000,-4.4000,-0.2000,-0.2000
1782864839.753325,0.0000,0.4000,0.5000,0.3000,-6.0000,-0.2000,-0.2000
1782864839.863993,0.0000,0.4000,0.5000,0.3000,-7.6000,-0.2000,-0.2000
1782864839.974895,0.0000,0.4000,0.5000,0.3000,-9.0000,-0.2000,-0.2000
1782864840.085553,0.0000,0.4000,0.5000,0.3000,-9.2000,-0.2000,-0.2000
1782864840.196444,0.0000,0.4000,0.5000,0.3000,-9.2000,-0.2000,-0.2000
1782864840.307819,0.0000,0.4000,0.5000,0.3000,-9.2000,-0.2000,-0.2000
1782864840.419109,0.0000,0.4000,0.5000,0.3000,-9.2000,-0.2000,-0.2000
1782864840.530921,0.0000,0.4000,0.5000,0.3000,-9.2000,-0.2000,-0.2000
1782864840.645470,0.0000,0.5000,0.5000,0.3000,-9.2000,-0.2000,-0.2000
1782864840.755681,0.0000,0.5000,0.5000,0.3000,-9.2000,-0.2000,-0.2000
1782864840.866672,0.0000,0.4000,0.5000,0.3000,-9.2000,-0.2000,-0.2000
1782864840.979201,0.0000,0.5000,0.5000,0.3000,-9.2000,-0.2000,-0.2000
1782864841.089216,0.0000,0.5000,0.5000,0.3000,-9.2000,-0.2000,-0.2000
1782864841.200432,0.0000,0.4000,0.5000,0.3000,-9.2000,-0.2000,-0.2000
1782864841.312815,0.0000,0.4000,0.5000,0.3000,-9.2000,-0.2000,-0.2000
1782864841.423207,0.0000,0.4000,0.5000,0.3000,-9.2000,-0.2000,-0.2000
1782864841.534163,0.0000,0.4000,0.5000,0.3000,-9.2000,-0.2000,-0.2000
1782864841.647240,0.0000,0.5000,0.5000,0.3000,-9.2000,-0.2000,-0.2000
1782864841.758349,0.0000,0.5000,0.5000,0.3000,-9.2000,-0.2000,-0.2000
1782864841.869035,0.0000,0.4000,0.5000,0.3000,-9.2000,-0.2000,-0.2000
1782864841.980175,0.0000,0.4000,0.5000,0.3000,-9.2000,-0.2000,-0.2000
1782864842.090673,0.0000,0.5000,0.5000,0.3000,-9.2000,-0.2000,-0.2000
1782864842.201576,0.0000,0.5000,0.5000,0.3000,-9.2000,-0.2000,-0.2000
1782864842.313626,0.0000,0.4000,0.5000,0.3000,-9.2000,-0.2000,-0.2000
1782864842.424253,0.0000,0.4000,0.5000,0.3000,-9.2000,-0.2000,-0.2000
1782864842.535295,0.0000,0.4000,0.5000,0.3000,-9.2000,-0.2000,-0.2000
1782864842.647471,0.0000,0.4000,0.5000,0.3000,-9.2000,-0.2000,-0.2000
1782864842.757788,0.0000,0.4000,0.5000,0.3000,-9.2000,-0.2000,-0.2000
1782864842.869186,0.0000,0.4000,0.5000,0.3000,-9.2000,-0.2000,-0.2000
1782864842.981243,0.0000,0.5000,0.5000,0.3000,-9.2000,-0.2000,-0.2000
1782864843.091233,0.0000,0.5000,0.5000,0.3000,-9.2000,-0.2000,-0.2000
1782864843.202137,0.0000,0.4000,0.5000,0.3000,-9.2000,-0.2000,-0.2000
1782864843.313162,0.0000,0.4000,0.5000,0.3000,-9.2000,-0.2000,-0.2000
1782864843.423741,0.0000,0.4000,0.5000,0.3000,-9.2000,-0.2000,-0.2000
1782864843.535325,0.0000,0.4000,0.5000,0.3000,-9.2000,-0.2000,-0.2000
1782864843.645993,0.0000,0.4000,0.5000,0.3000,-9.2000,-0.2000,-0.2000
1782864843.757985,0.0000,0.4000,0.5000,0.3000,-9.2000,-0.2000,-0.2000
1782864843.869172,0.0000,0.5000,0.5000,0.3000,-9.2000,-0.2000,-0.2000
1782864843.981732,0.0000,0.4000,0.5000,0.3000,-9.2000,-0.2000,-0.2000
1782864844.091115,0.0000,0.4000,0.5000,0.3000,-9.2000,-0.2000,-0.2000
1782864844.202485,0.0000,0.4000,0.5000,0.3000,-9.2000,-0.2000,-0.2000
1782864844.313578,0.0000,0.4000,0.5000,0.3000,-9.2000,-0.2000,-0.2000
1782864844.424574,0.0000,0.4000,0.5000,0.3000,-9.2000,-0.2000,-0.2000
1782864844.535753,0.0000,0.4000,0.5000,0.3000,-9.2000,-0.2000,-0.2000
1782864844.647244,0.0000,0.4000,0.5000,0.3000,-9.2000,-0.2000,-0.2000
1782864844.758852,0.0000,0.4000,0.5000,0.3000,-9.2000,-0.2000,-0.2000
1782864844.869518,0.0000,0.4000,0.5000,0.3000,-9.2000,-0.2000,-0.2000
1782864844.982378,0.0000,0.4000,0.5000,0.3000,-9.2000,-0.2000,-0.2000
1782864845.092775,0.0000,0.4000,0.5000,0.3000,-9.2000,-0.2000,-0.2000
1782864845.203539,0.0000,0.4000,0.5000,0.3000,-9.2000,-0.2000,-0.2000
1782864845.314409,0.0000,0.5000,0.5000,0.3000,-9.2000,-0.2000,-0.2000
1782864845.425720,0.0000,0.4000,0.5000,0.3000,-9.2000,-0.2000,-0.2000
1782864845.536694,0.0000,0.4000,0.5000,0.3000,-9.2000,-0.2000,-0.2000
1782864845.649957,0.0000,0.4000,0.5000,0.3000,-9.2000,-0.2000,-0.2000
1782864845.760356,0.0000,0.5000,0.5000,0.3000,-9.2000,-0.2000,-0.2000
1782864845.871608,0.0000,0.4000,0.5000,0.3000,-9.2000,-0.2000,-0.2000
1782864845.983581,0.0000,0.5000,0.5000,0.3000,-9.2000,-0.2000,-0.2000
1782864846.094478,0.0000,0.4000,0.5000,0.3000,-9.2000,-0.2000,-0.2000
1782864846.205216,0.0000,0.4000,0.5000,0.3000,-9.2000,-0.2000,-0.2000
1782864846.316878,0.0000,0.4000,0.5000,0.3000,-9.2000,-0.2000,-0.2000
1782864846.427325,0.0000,0.4000,0.4000,0.3000,-9.2000,-0.2000,-0.2000
1782864846.538205,0.0000,0.4000,0.5000,0.3000,-9.2000,-0.2000,-0.2000
1782864846.650135,0.0000,0.5000,0.5000,0.3000,-9.2000,-0.2000,-0.2000
1782864846.760570,0.0000,0.4000,0.5000,0.3000,-9.2000,-0.2000,-0.2000
1782864846.872523,0.0000,0.4000,0.5000,0.3000,-9.2000,-0.2000,-0.2000
