timestamp,s0,s1,s2,s3,s4,s5,s6
1782866204.705127,0.0000,0.4000,0.4000,0.2000,0.6000,0.3000,0.1000
1782866204.816464,0.0000,0.4000,0.3000,0.2000,0.6000,0.3000,0.1000
1782866204.929087,0.0000,0.5000,0.4000,0.2000,0.6000,0.3000,0.1000
1782866205.039202,0.0000,0.5000,0.4000,0.2000,0.6000,0.3000,0.1000
1782866205.149823,0.0000,0.4000,0.4000,0.2000,0.6000,0.3000,0.1000
1782866205.260600,0.0000,0.4000,0.4000,0.2000,0.6000,0.3000,0.1000
1782866205.371759,0.0000,0.4000,0.4000,0.2000,0.6000,0.3000,0.1000
1782866205.483444,0.0000,0.5000,0.3000,0.2000,0.6000,0.3000,0.0000
1782866205.594319,0.0000,0.4000,0.4000,0.2000,0.6000,0.3000,0.1000
1782866205.705381,0.0000,0.5000,0.4000,0.2000,0.6000,0.3000,0.1000
1782866205.816636,0.0000,0.4000,0.4000,0.2000,0.6000,0.3000,0.1000
1782866205.928356,0.0000,0.4000,0.4000,0.2000,0.6000,0.3000,0.1000
1782866206.039481,0.0000,0.4000,0.4000,0.2000,0.6000,0.3000,0.1000
1782866206.150556,0.0000,0.4000,0.4000,0.2000,0.6000,0.3000,0.1000
1782866206.261283,0.0000,0.4000,0.4000,0.2000,0.6000,0.3000,0.1000
1782866206.373108,0.0000,0.5000,0.4000,0.2000,0.6000,0.3000,0.1000
1782866206.483149,0.0000,0.5000,0.4000,0.2000,0.6000,0.3000,0.1000
1782866206.595546,0.0000,0.4000,0.4000,0.2000,0.6000,0.3000,0.1000
1782866206.707494,0.0000,0.4000,0.4000,0.2000,0.6000,0.3000,0.1000
1782866206.818290,0.0000,0.4000,0.0000,0.2000,0.6000,0.3000,0.1000
1782866206.930749,0.0000,0.4000,-1.6000,0.2000,0.6000,0.3000,0.1000
1782866207.040598,0.0000,0.5000,-3.0000,0.2000,0.6000,0.3000,0.1000
1782866207.151704,0.0000,0.4000,-4.7000,0.2000,0.6000,0.3000,0.1000
1782866207.264018,0.0000,0.5000,-6.4000,0.2000,0.6000,0.3000,0.1000
1782866207.374816,0.0000,0.4000,-8.0000,0.2000,0.6000,0.3000,0.1000
