timestamp,s0,s1,s2,s3,s4,s5,s6
1782864986.255534,0.0000,0.4000,0.5000,0.3000,0.8000,0.3000,-0.2000
1782864986.366970,0.0000,0.4000,0.5000,0.3000,0.8000,0.3000,-0.2000
1782864986.477914,0.0000,0.4000,0.5000,0.3000,0.8000,0.3000,-0.2000
1782864986.588591,0.0000,0.4000,0.5000,0.3000,0.8000,0.3000,-0.2000
1782864986.699652,0.0000,0.5000,0.5000,0.3000,0.8000,0.3000,-0.2000
1782864986.810274,0.0000,0.4000,0.5000,0.3000,0.8000,0.3000,-0.2000
1782864986.922009,0.0000,0.4000,0.5000,0.3000,0.8000,0.3000,-0.2000
1782864987.032336,0.0000,0.4000,0.5000,0.3000,0.8000,0.3000,-0.2000
1782864987.143678,0.0000,0.5000,0.5000,0.3000,0.8000,0.3000,-0.2000
1782864987.255677,0.0000,0.4000,0.5000,0.3000,0.8000,0.3000,-0.2000
1782864987.365413,0.0000,0.4000,0.5000,0.3000,0.8000,0.3000,-0.2000
1782864987.476234,0.0000,0.4000,0.5000,0.3000,0.8000,0.3000,-0.2000
1782864987.587015,0.0000,0.5000,0.5000,0.3000,0.8000,0.3000,-0.2000
1782864987.698080,0.0000,0.5000,0.5000,0.3000,0.8000,0.3000,-0.2000
1782864987.809148,0.0000,0.5000,0.5000,0.3000,0.8000,0.3000,-0.2000
1782864987.919523,0.0000,0.4000,0.5000,0.3000,0.8000,0.3000,-0.2000
1782864988.030483,0.0000,0.4000,0.5000,0.3000,0.8000,0.3000,-0.2000
1782864988.141710,0.0000,0.4000,0.5000,0.3000,0.8000,0.3000,-0.2000
1782864988.252938,0.0000,0.5000,0.5000,0.3000,0.8000,0.3000,-0.2000
1782864988.363929,0.0000,0.4000,0.5000,0.3000,0.8000,0.3000,0.5000
1782864988.474960,0.0000,0.5000,0.5000,0.3000,0.8000,0.3000,2.1000
1782864988.586096,0.0000,0.4000,0.5000,0.3000,0.8000,0.3000,3.7000
1782864988.696461,0.0000,0.4000,0.5000,0.3000,0.8000,0.3000,5.4000
1782864988.807360,0.0000,0.4000,0.5000,0.3000,0.8000,0.3000,6.9000
1782864988.918145,0.0000,0.4000,0.5000,0.3000,0.8000,0.3000,8.6000
1782864989.029362,0.0000,0.4000,0.5000,0.3000,0.8000,0.3000,10.3000
1782864989.140566,0.0000,0.4000,0.5000,0.3000,0.8000,0.3000,12.0000
1782864989.250689,0.0000,0.4000,0.5000,0.3000,0.8000,0.3000,13.6000
1782864989.361920,0.0000,0.5000,0.5000,0.3000,0.8000,0.3000,15.3000
1782864989.472958,0.0000,0.4000,0.5000,0.3000,0.8000,0.3000,17.0000
1782864989.583881,0.0000,0.4000,0.5000,0.3000,0.8000,0.3000,18.5000
1782864989.694685,0.0000,0.4000,0.5000,0.3000,0.8000,0.3000,20.2000
1782864989.806478,0.0000,0.4000,0.5000,0.3000,0.8000,0.3000,21.9000
1782864989.917225,0.0000,0.4000,0.5000,0.3000,0.8000,0.3000,23.6000
1782864990.028820,0.0000,0.4000,0.5000,0.3000,0.8000,0.3000,25.2000
1782864990.151927,0.0000,0.4000,0.5000,0.3000,0.8000,0.3000,27.1000
1782864990.263521,0.0000,0.4000,0.5000,0.3000,0.8000,0.3000,28.6000
1782864990.375478,0.0000,0.4000,0.5000,0.3000,0.8000,0.3000,29.6000
1782864990.485757,0.0000,0.4000,0.5000,0.3000,0.8000,0.3000,29.6000
1782864990.597159,0.0000,0.4000,0.5000,0.3000,0.8000,0.3000,29.6000
1782864990.707505,0.0000,0.5000,0.5000,0.3000,0.8000,0.3000,29.6000
1782864990.819227,0.0000,0.5000,0.5000,0.3000,0.8000,0.3000,29.6000
1782864990.929848,0.0000,0.4000,0.5000,0.3000,0.8000,0.3000,29.6000
1782864991.040769,0.0000,0.4000,0.5000,0.3000,0.8000,0.3000,29.6000
1782864991.151745,0.0000,0.5000,0.5000,0.3000,0.8000,0.3000,29.6000
1782864991.263500,0.0000,0.4000,0.5000,0.3000,0.8000,0.3000,29.6000
1782864991.374737,0.0000,0.5000,0.5000,0.3000,0.8000,0.3000,29.6000
1782864991.485297,0.0000,0.4000,0.5000,0.3000,0.8000,0.3000,29.6000
1782864991.596306,0.0000,0.4000,0.5000,0.3000,0.8000,0.3000,29.6000
1782864991.707268,0.0000,0.4000,0.5000,0.3000,0.8000,0.3000,29.6000
1782864991.818721,0.0000,0.5000,0.5000,0.3000,0.8000,0.3000,29.6000
1782864991.929647,0.0000,0.5000,0.5000,0.3000,0.8000,0.3000,29.6000
1782864992.040662,0.0000,0.4000,0.5000,0.3000,0.8000,0.3000,29.6000
1782864992.152462,0.0000,0.4000,0.5000,0.3000,0.8000,0.3000,29.6000
1782864992.263716,0.0000,0.5000,0.5000,0.3000,0.8000,0.3000,29.6000
1782864992.374752,0.0000,0.4000,0.5000,0.3000,0.8000,0.3000,29.6000
1782864992.485381,0.0000,0.4000,0.5000,0.3000,0.8000,0.3000,29.6000
1782864992.597132,0.0000,0.4000,0.5000,0.3000,0.8000,0.3000,29.6000
1782864992.707844,0.0000,0.4000,0.5000,0.3000,0.8000,0.3000,29.6000
1782864992.818645,0.0000,0.5000,0.5000,0.3000,0.8000,0.3000,29.6000
1782864992.930682,0.0000,0.4000,0.5000,0.3000,0.8000,0.3000,29.6000
1782864993.042501,0.0000,0.4000,0.5000,0.3000,0.8000,0.3000,29.6000
1782864993.152493,0.0000,0.5000,0.5000,0.3000,0.8000,0.3000,29.6000
1782864993.263664,0.0000,0.4000,0.5000,0.3000,0.8000,0.3000,29.6000
1782864993.374780,0.0000,0.4000,0.5000,0.3000,0.8000,0.3000,29.6000
1782864993.485573,0.0000,0.4000,0.5000,0.3000,0.8000,0.3000,29.6000
1782864993.596732,0.0000,0.5000,0.5000,0.3000,0.8000,0.3000,29.6000
1782864993.708089,0.0000,0.4000,0.5000,0.3000,0.8000,0.3000,29.6000
1782864993.819101,0.0000,0.4000,0.5000,0.3000,0.8000,0.3000,29.6000
1782864993.929848,0.0000,0.4000,0.5000,0.3000,0.8000,0.3000,29.6000
1782864994.041243,0.0000,0.4000,0.5000,0.3000,0.8000,0.3000,29.6000
1782864994.153394,0.0000,0.4000,0.5000,0.3000,0.8000,0.3000,29.6000
1782864994.263854,0.0000,0.5000,0.5000,0.3000,0.8000,0.3000,29.6000
1782864994.374664,0.0000,0.4000,0.5000,0.3000,0.8000,0.3000,29.6000
1782864994.486647,0.0000,0.4000,0.5000,0.3000,0.8000,0.3000,29.6000
1782864994.597687,0.0000,0.4000,0.5000,0.3000,0.8000,0.3000,29.6000
1782864994.708599,0.0000,0.4000,0.5000,0.3000,0.8000,0.3000,29.6000
1782864994.819522,0.0000,0.4000,0.5000,0.3000,0.8000,0.3000,29.6000
1782864994.930758,0.0000,0.5000,0.5000,0.3000,0.8000,0.3000,29.6000
1782864995.042721,0.0000,0.5000,0.5000,0.3000,0.8000,0.3000,29.6000
1782864995.156541,0.0000,0.4000,0.5000,0.3000,0.8000,0.3000,29.6000
1782864995.267919,0.0000,0.4000,0.5000,0.3000,0.8000,0.3000,29.6000
1782864995.379714,0.0000,0.5000,0.5000,0.3000,0.8000,0.3000,29.6000
1782864995.491120,0.0000,0.4000,0.5000,0.3000,0.8000,0.3000,29.6000
1782864995.602000,0.0000,0.4000,0.5000,0.3000,0.8000,0.3000,29.6000
1782864995.712613,0.0000,0.4000,0.5000,0.3000,0.8000,0.3000,29.6000
1782864995.824811,0.0000,0.5000,0.5000,0.3000,0.8000,0.3000,29.6000
1782864995.935310,0.0000,0.4000,0.5000,0.3000,0.8000,0.3000,29.6000
1782864996.047478,0.0000,0.4000,0.5000,0.3000,0.8000,0.3000,29.6000
1782864996.158618,0.0000,0.4000,0.5000,0.3000,0.8000,0.3000,29.6000
1782864996.269963,0.0000,0.4000,0.5000,0.3000,0.8000,0.3000,29.6000
1782864996.381208,0.0000,0.4000,0.5000,0.3000,0.8000,0.3000,29.6000
1782864996.492886,0.0000,0.5000,0.5000,0.3000,0.8000,0.3000,29.6000
1782864996.603943,0.0000,0.4000,0.5000,0.3000,0.8000,0.3000,29.6000
1782864996.714512,0.0000,0.4000,0.5000,0.3000,0.8000,0.3000,29.6000
1782864996.825768,0.0000,0.4000,0.5000,0.3000,0.8000,0.3000,29.6000
1782864996.936532,0.0000,0.5000,0.5000,0.3000,0.8000,0.3000,29.6000
1782864997.047665,0.0000,0.5000,0.5000,0.3000,0.8000,0.3000,29.6000
1782864997.158551,0.0000,0.4000,0.5000,0.3000,0.8000,0.3000,29.6000
1782864997.270012,0.0000,0.4000,0.5000,0.3000,0.8000,0.3000,29.6000
1782864997.380866,0.0000,0.4000,0.5000,0.3000,0.8000,0.3000,29.6000
1782864997.491965,0.0000,0.4000,0.5000,0.3000,0.8000,0.3000,29.6000
1782864997.603217,0.0000,0.4000,0.5000,0.3000,0.8000,0.3000,29.6000
1782864997.714834,0.0000,0.4000,0.5000,0.3000,0.8000,0.3000,29.6000
1782864997.825791,0.0000,0.4000,0.5000,0.3000,0.8000,0.3000,29.6000
1782864997.936856,0.0000,0.4000,0.5000,0.3000,0.8000,0.3000,29.6000
1782864998.048651,0.0000,0.4000,0.5000,0.3000,0.8000,0.3000,29.6000
1782864998.159134,0.0000,0.4000,0.5000,0.3000,0.8000,0.3000,29.6000
