timestamp,s0,s1,s2,s3,s4,s5,s6
1782864746.926495,0.0000,0.4000,0.5000,-0.1000,0.4000,-0.2000,-0.2000
1782864747.037961,0.0000,0.5000,0.5000,-0.1000,0.4000,-0.2000,-0.2000
1782864747.148825,0.0000,0.4000,0.5000,-0.1000,0.4000,-0.2000,-0.2000
1782864747.260185,0.0000,0.4000,0.5000,-0.1000,0.4000,-0.2000,-0.2000
1782864747.370780,0.0000,0.4000,0.5000,-0.1000,0.4000,-0.2000,-0.2000
1782864747.481363,0.0000,0.5000,0.5000,-0.1000,0.4000,-0.2000,-0.2000
1782864747.592605,0.0000,0.4000,0.5000,-0.1000,0.4000,-0.2000,-0.2000
1782864747.703843,0.0000,0.4000,0.5000,-0.1000,0.4000,-0.2000,-0.2000
1782864747.814839,0.0000,0.4000,0.5000,-0.1000,0.4000,-0.2000,-0.2000
1782864747.925612,0.0000,0.5000,0.5000,-0.1000,0.4000,-0.2000,-0.2000
1782864748.037070,0.0000,0.4000,0.5000,-0.1000,0.4000,-0.2000,-0.2000
1782864748.148458,0.0000,0.4000,0.5000,-0.1000,0.4000,-0.2000,-0.2000
1782864748.260010,0.0000,0.4000,0.5000,-0.1000,0.4000,-0.2000,-0.2000
1782864748.371010,0.0000,0.4000,0.5000,-0.1000,0.4000,-0.2000,-0.2000
1782864748.482438,0.0000,0.4000,0.5000,-0.1000,0.4000,-0.2000,-0.2000
1782864748.593163,0.0000,0.4000,0.5000,-0.1000,0.4000,-0.2000,-0.2000
1782864748.704468,0.0000,0.4000,0.5000,-0.1000,0.4000,-0.2000,-0.2000
1782864748.815991,0.0000,0.4000,0.5000,-0.1000,0.4000,-0.2000,-0.2000
1782864748.926645,0.0000,0.4000,0.5000,-0.1000,0.4000,-0.2000,-0.2000
1782864749.037648,0.0000,0.4000,0.5000,-0.1000,0.4000,-0.2000,-0.2000
1782864749.149303,0.0000,0.4000,0.5000,-0.1000,0.4000,-0.2000,-0.2000
1782864749.260718,0.0000,0.4000,0.5000,-0.1000,0.4000,-0.2000,-0.2000
1782864749.371926,0.0000,0.4000,0.5000,-0.1000,0.4000,-0.2000,-0.2000
1782864749.482181,0.0000,0.4000,0.5000,-0.1000,0.4000,-0.2000,-0.2000
1782864749.593156,0.0000,0.5000,0.5000,-0.1000,0.4000,-0.2000,-0.2000
1782864749.704433,0.0000,0.4000,0.5000,-0.1000,0.4000,-0.2000,-0.2000
1782864749.815609,0.0000,0.5000,0.5000,-0.1000,0.4000,-0.2000,-0.2000
1782864749.926780,0.0000,0.4000,0.5000,-0.1000,0.4000,-0.2000,-0.2000
1782864750.038472,0.0000,0.4000,0.5000,-0.1000,0.4000,-0.2000,-0.2000
1782864750.149005,0.0000,0.4000,0.5000,-0.1000,0.4000,-0.2000,-0.2000
1782864750.259616,0.0000,0.4000,0.5000,-0.1000,0.4000,-0.2000,-0.2000
1782864750.371824,0.0000,0.4000,0.5000,-0.1000,0.4000,-0.2000,-0.2000
1782864750.482117,0.0000,0.5000,0.5000,-0.1000,0.4000,-0.2000,-0.2000
1782864750.593695,0.0000,0.4000,0.5000,-0.1000,0.4000,-0.2000,-0.2000
1782864750.704610,0.0000,0.4000,0.5000,-0.1000,0.4000,-0.2000,-0.2000
1782864750.815994,0.0000,0.4000,0.5000,-0.1000,0.4000,-0.2000,-0.2000
1782864750.926731,0.0000,0.4000,0.5000,-0.1000,0.4000,-0.2000,-0.2000
1782864751.037657,0.0000,0.5000,0.5000,-0.1000,0.4000,-0.2000,-0.2000
1782864751.148725,0.0000,0.4000,0.5000,-0.1000,0.4000,-0.2000,-0.2000
1782864751.260259,0.0000,0.4000,0.5000,-0.1000,0.4000,-0.2000,-0.2000
1782864751.371202,0.0000,0.4000,0.5000,-0.1000,0.4000,-0.2000,-0.2000
1782864751.482167,0.0000,0.4000,0.5000,-0.1000,0.4000,-0.2000,-0.2000
1782864751.593628,0.0000,0.4000,0.5000,-0.1000,0.4000,-0.2000,-0.2000
1782864751.704576,0.0000,0.4000,0.5000,-0.1000,0.4000,-0.2000,-0.2000
1782864751.815589,0.0000,0.4000,0.5000,-0.1000,0.4000,-0.2000,-0.2000
