timestamp,s0,s1,s2,s3,s4,s5,s6
1782864573.535152,0.0000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864573.646813,0.0000,0.5000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864573.757822,0.0000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864573.868904,0.0000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864573.980642,0.0000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864574.091248,0.0000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864574.202290,0.0000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864574.314703,0.0000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864574.425747,0.0000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864574.536384,0.0000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864574.647364,0.0000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864574.758424,0.0000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864574.869136,0.0000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864574.981157,0.0000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864575.092430,0.0000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864575.203125,0.0000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864575.313623,0.0000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864575.425184,0.0000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864575.535679,0.0000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864575.647125,-0.3000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864575.758682,-1.8000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864575.869263,-3.9000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864575.981521,-5.4000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864576.092529,-6.9000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864576.203194,-8.8000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864576.314189,-9.9000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864576.425086,-10.0000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864576.535775,-10.0000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864576.648221,-10.0000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864576.757726,-10.0000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864576.869367,-10.0000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864576.981743,-10.0000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864577.091615,-10.0000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864577.202878,-10.0000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864577.315338,-10.0000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864577.425590,-10.0000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864577.536982,-10.0000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864577.648956,-10.0000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864577.759772,-10.0000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864577.870822,-10.0000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864577.982438,-10.0000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864578.092848,-10.0000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864578.205096,-10.0000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864578.316125,-10.0000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864578.427126,-10.0000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864578.538236,-10.0000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864578.649748,-10.0000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864578.761248,-10.0000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864578.873330,-10.0000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864578.985696,-10.0000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864579.099727,-10.0000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864579.210201,-10.0000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864579.321440,-10.0000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864579.433312,-10.0000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864579.543620,-10.0000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864579.654982,-10.0000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864579.766750,-10.0000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864579.878619,-10.0000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864579.990495,-10.0000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864580.101510,-10.0000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864580.212568,-10.0000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864580.323816,-10.0000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864580.435204,-10.0000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864580.545729,-10.0000,0.4000,0.3000,-0.1000,0.3000,-0.2000,-0.2000
1782864580.656440,-10.0000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864580.770648,-10.0000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864580.881284,-10.0000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864580.992902,-10.0000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864581.103623,-10.0000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864581.215700,-10.0000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864581.328218,-10.0000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864581.439754,-10.0000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864581.550405,-10.0000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864581.661583,-10.0000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864581.772227,-10.0000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864581.882999,-10.0000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864581.993931,-10.0000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864582.105582,-10.0000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864582.216522,-10.0000,0.4000,0.3000,-0.1000,0.3000,-0.2000,-0.2000
1782864582.328151,-10.0000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864582.439123,-10.0000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864582.549832,-10.0000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864582.661185,-10.0000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864582.771626,-10.0000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864582.882942,-10.0000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864582.993807,-10.0000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864583.105107,-10.0000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864583.216369,-10.0000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864583.327125,-10.0000,0.5000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864583.438873,-10.0000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864583.549729,-10.0000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864583.660631,-10.0000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864583.771625,-10.0000,0.4000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
1782864583.882499,-10.0000,0.5000,0.4000,-0.1000,0.3000,-0.2000,-0.2000
